phage,Tailed?,tailMorphology,family,mainHost,hostTaxID,hostCanonicalName,gramStain,receptorLocation,HOST receptors,receptorDomain,domainClass,hostRange,hostRangeBasis,hostRangeConfidence,hostRangeNote,references,doi,comments,verified,Host Receptor has a Gen Bank?,If yes-Link,hostReceptorAccession,genBankTier,genBankGene,Does the Phage RBP have a Uniprot?,"If yes, link",phageRBPAccession,uniProtTier,uniProtProtein,source,sourceCitation,dateRetrieved,needsReview,reviewReasons,_domainNote,_gbNote,_upNote,_taxNote,_gbRecordOrganism,_gbRecordTitle,_upRecordOrganism,_doiStatus,_doiTitle,_litStatus,_litNote,domainConfidence,genBankConfidence,uniProtConfidence
55R-1,yes,contractile,Myoviridae,Aeromonas salmonicida,645,Aeromonas salmonicida,Gram negative,cell wall,LPS,LPS,Glycan,Narrow,predicted-from-receptor,low,O-antigen LPS generally serotype-specific -> narrow predicted (weak),Ishiguro et al. 1983,10.1139/m83-223, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP101948.1,NZ_CP101948.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage not found in UniProt,,Aeromonas salmonicida,"Aeromonas salmonicida strain FN1 chromosome, complete genome",,,,,,high,medium,none
Me1,yes,contractile,Myoviridae,Escherichia coli,562,Escherichia coli,Gram negative,cell wall,OmpC,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Verhoef et al. 1977,10.1007/bf02425330, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/GQ167032.1,GQ167032.1,specific gene,OmpC,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,specific receptor gene OmpC,phage present in UniProt but no tail/RBP protein annotated,,Escherichia coli,"Escherichia coli strain EC-937-2/07 outer membrane protein C (ompC) gene, complete cds",,,,,,high,high,none
IME339,yes,contractile,Myoviridae,Escherichia coli,562,Escherichia coli,Gram negative,cell wall,Tsx,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Li et al. 2019,10.3389/fmicb.2019.00850, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP187781.1,NZ_CP187781.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage present in UniProt but no tail/RBP protein annotated,,Escherichia coli,"Escherichia coli strain 097H6 chromosome, complete genome",,,,,,high,medium,none
S102,yes,long non-contractile,Siphoviridae,Salmonella enterica serovar Typhimurium,90371,Salmonella enterica subsp. enterica serovar Typhimurium,Gram negative,cell wall,O-antigen,LPS,Glycan,Narrow,predicted-from-receptor,medium,specific O-antigen/serotype -> narrow predicted,Gencay et al. 2019,10.1111/1462-2920.14597, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP104816.1,NZ_CP104816.1,host genome (fallback),,yes,https://www.uniprot.org/uniprotkb/A0A2Z5HI34,A0A2Z5HI34,specific RBP,Putative tail spike protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,,,Salmonella enterica subsp. enterica serovar Typhimurium,"Salmonella enterica subsp. enterica serovar Typhimurium strain STMC125 chromosome, complete genome",Salmonella phage S102,,,,,high,medium,high
mEp263,yes,long non-contractile,Siphoviridae,Escherichia coli,562,Escherichia coli,Gram negative,cell wall,FhuA,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Hernandez-Sanchez et al. 2008,10.1007/s00705-008-0111-0, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/M12486.1,M12486.1,specific gene,FhuA,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,specific receptor gene FhuA,phage not found in UniProt,,Escherichia coli,"E.coli fhuA, fhuC and fhuD genes encoding the ferrichrome-iron receptor and two ferric aerobactin and ferric coprogen transport proteins, complete cds",,,,,,high,high,none
c341,yes,short,Podoviridae,Salmonella sp.,599,Salmonella sp.,Gram negative,cell wall; O-chain structure that are enzymatically cleaved by phages,The O-acetyl group in the mannosyl-rhamnosyl-O-acetylgalactose repeating sequence,N/A,,Undetermined,insufficient-data,none,receptor does not support a host-range prediction,Iwashita and Kanegasaki 1976,10.1016/s0021-9258(17)33169-1, ,Yes,no,,,none,,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,receptor does not fit any defined domain,no GenBank record found for receptor or host genome,phage not found in UniProt,,,,,,,,,none,none,none
mEp141,yes,long non-contractile,Siphoviridae,Escherichia coli,562,Escherichia coli,Gram negative,cell wall,FhuA,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Hernandez-Sanchez et al. 2008,10.1007/s00705-008-0111-0, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/M12486.1,M12486.1,specific gene,FhuA,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,specific receptor gene FhuA,phage not found in UniProt,,Escherichia coli,"E.coli fhuA, fhuC and fhuD genes encoding the ferrichrome-iron receptor and two ferric aerobactin and ferric coprogen transport proteins, complete cds",,,,,,high,high,none
KIL3b,yes,contractile,Myoviridae,Pseudomonas syringae pv. porri,83964,Pseudomonas coronafaciens pv. porri,Gram negative,cell wall,LPS,LPS,Glycan,Narrow,predicted-from-receptor,low,O-antigen LPS generally serotype-specific -> narrow predicted (weak),Holtappels et al. 2020,10.3390/ijms21082930, ,Yes,no,,,none,,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,no GenBank record found for receptor or host genome,phage not found in UniProt,host renamed in NCBI: Pseudomonas syringae pv. porri -> Pseudomonas coronafaciens pv. porri,,,,,,,,high,none,none
mEp524,yes,long non-contractile,Siphoviridae,Escherichia coli,562,Escherichia coli,Gram negative,cell wall,FhuA,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Hernandez-Sanchez et al. 2008,10.1007/s00705-008-0111-0, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/M12486.1,M12486.1,specific gene,FhuA,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,specific receptor gene FhuA,phage not found in UniProt,,Escherichia coli,"E.coli fhuA, fhuC and fhuD genes encoding the ferrichrome-iron receptor and two ferric aerobactin and ferric coprogen transport proteins, complete cds",,,,,,high,high,none
B2,yes,short,Podoviridae,Acinetobacter baumannii,470,Acinetobacter baumannii,Gram negative,cell wall,capsular polysaccharides,Capsular Polysaccharide,Glycan,Narrow,predicted-from-receptor,medium,capsule/K-antigen is strain/serotype specific -> narrow predicted,Oliveira et al. 2017,10.1111/1462-2920.13970, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP156044.1,NZ_CP156044.1,host genome (fallback),,yes,https://www.uniprot.org/uniprotkb/A0A343S152,A0A343S152,specific RBP,Tail fiber protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,yes,low-confidence UniProt assignment | ambiguous phage name across organisms,,host genome fallback: no gene symbol in receptor,"AMBIGUOUS phage name across organisms, none match host 'Acinetobacter baumannii': Escherichia phage B2, Lactobacillus phage ATCC 8014-B2",,Acinetobacter baumannii,"Acinetobacter baumannii strain D13 chromosome, complete genome",Escherichia phage B2,resolved,"Ability of phages to infect
                    <i>Acinetobacter calcoaceticus‐Acinetobacter baumannii</i>
                    complex species through acquisition of different pectate lyase depolymerase domains",corroborated,358 independent record(s) link B2 to capsular polysaccharide,high,medium,low
F374,yes,contractile,Myoviridae,Campylobacter jejuni,197,Campylobacter jejuni,Gram negative,cell wall,capsular polysaccharides,Capsular Polysaccharide,Glycan,Narrow,predicted-from-receptor,medium,capsule/K-antigen is strain/serotype specific -> narrow predicted,Sørensen et al. 2015,10.1371/journal.pone.0116287, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP172364.1,NZ_CP172364.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage not found in UniProt,,Campylobacter jejuni,"Campylobacter jejuni strain YH021 chromosome, complete genome",,,,,,high,medium,none
S115,yes,contractile,Myoviridae,Salmonella enterica serovar Typhimurium,90371,Salmonella enterica subsp. enterica serovar Typhimurium,Gram negative,cell wall,O-antigen,LPS,Glycan,Narrow,predicted-from-receptor,medium,specific O-antigen/serotype -> narrow predicted,Gencay et al. 2019,10.1111/1462-2920.14597, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP104816.1,NZ_CP104816.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage present in UniProt but no tail/RBP protein annotated,,Salmonella enterica subsp. enterica serovar Typhimurium,"Salmonella enterica subsp. enterica serovar Typhimurium strain STMC125 chromosome, complete genome",,,,,,high,medium,none
fPS-86,yes,short,Podoviridae,Yersinia enterocolitica,630,Yersinia enterocolitica,Gram negative,cell wall,LPS O antigen,LPS,Glycan,Narrow,predicted-from-receptor,medium,specific O-antigen/serotype -> narrow predicted,Salem et al. 2018,10.3390/v10040174, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP139458.1,NZ_CP139458.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage not found in UniProt,,Yersinia enterocolitica,"Yersinia enterocolitica strain Y40 chromosome, complete genome",,,,,,high,medium,none
F341,yes,contractile,Myoviridae,Campylobacter jejuni,197,Campylobacter jejuni,Gram negative,flagella,rotating flagella,Flagella,Protein,Undetermined,insufficient-data,none,Flagella host range is context-dependent; no empirical data in source,Baldvinsson et al. 2014,10.1128/AEM.02057-14, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP172364.1,NZ_CP172364.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage not found in UniProt,,Campylobacter jejuni,"Campylobacter jejuni strain YH021 chromosome, complete genome",,,,,,high,medium,none
mEp155,yes,long non-contractile,Siphoviridae,Escherichia coli,562,Escherichia coli,Gram negative,cell wall,FhuA,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Hernandez-Sanchez et al. 2008,10.1007/s00705-008-0111-0, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/M12486.1,M12486.1,specific gene,FhuA,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,yes,no independent literature found for this phage,,specific receptor gene FhuA,phage not found in UniProt,,Escherichia coli,"E.coli fhuA, fhuC and fhuD genes encoding the ferrichrome-iron receptor and two ferric aerobactin and ferric coprogen transport proteins, complete cds",,resolved,"Analysis of some phenotypic traits of feces-borne temperate lambdoid bacteriophages from different immunity groups: a high incidence of cor+, FhuA-dependent phages",no literature,no independent literature found for mEp155,high,high,none
29,yes,short,Podoviridae,Escherichia coli,562,Escherichia coli,Gram negative,Bacterial capsule,Endo-glycosidase hydrolysis in β-D-glucosido-(1-3)-D-glucoronic acid bonds in the capsule composed of hexasaccharides repeating units,Capsular Polysaccharide,Glycan,Narrow,predicted-from-receptor,medium,capsule/K-antigen is strain/serotype specific -> narrow predicted,Stirm et al. 1971; Fehmel et al. 1975,"10.1128/jvi.8.3.343-346.1971 (Stirm et al), 10.1128/jvi.16.3.591-601.1975 (Fehmel et al)", ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP187781.1,NZ_CP187781.1,host genome (fallback),,yes,https://www.uniprot.org/uniprotkb/A0A1W6DXS8,A0A1W6DXS8,specific RBP,Putative tail fiber protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,yes,low-confidence UniProt assignment | ambiguous phage name across organisms,,host genome fallback: no gene symbol in receptor,"AMBIGUOUS phage name across organisms, none match host 'Escherichia coli': Aeromonas phage phiA8-29, Salmonella phage 1-29, Salmonella phage 3-29",,Escherichia coli,"Escherichia coli strain 097H6 chromosome, complete genome",Aeromonas phage phiA8-29,resolved,Bacteriophage Particles with Endo-Glycosidase Activity,corroborated,4852 independent record(s) link 29 to Capsular Polysaccharide,high,medium,low
mEp502,yes,long non-contractile,Siphoviridae,Escherichia coli,562,Escherichia coli,Gram negative,cell wall,FhuA,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Hernandez-Sanchez et al. 2008,10.1007/s00705-008-0111-0, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/M12486.1,M12486.1,specific gene,FhuA,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,specific receptor gene FhuA,phage not found in UniProt,,Escherichia coli,"E.coli fhuA, fhuC and fhuD genes encoding the ferrichrome-iron receptor and two ferric aerobactin and ferric coprogen transport proteins, complete cds",,,,,,high,high,none
ICP1,yes,contractile,Myoviridae,Vibrio cholerae,666,Vibrio cholerae,Gram negative,cell wall,O1 antigen of LPS,LPS,Glycan,Narrow,predicted-from-receptor,low,O-antigen LPS generally serotype-specific -> narrow predicted (weak),Seed et al. 2011,10.1128/mBio.00334-10, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP191367.1,NZ_CP191367.1,host genome (fallback),,yes,https://www.uniprot.org/uniprotkb/F1D1N1,F1D1N1,other tail protein,Putative Gp5 baseplate hub subunit and tail lysozyme,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,no specific RBP annotated; using another tail protein (Patrick's fallback),,Vibrio cholerae,"Vibrio cholerae strain GD25VC001 chromosome 1, complete sequence",Vibrio phage ICP1,,,,,high,medium,medium
W,yes,long non-contractile,Siphoviridae,Staphylococcus aureus,1280,Staphylococcus aureus,Gram positive,cell wall,N-acetylglucosamine (GlcNAc) glycoepitope on wall teichoic acid (WTA),Teichoic Acids,Glycan,Undetermined,insufficient-data,none,Teichoic Acids host range is context-dependent; no empirical data in source,Xia et al. 2011,10.1128/JB.01412-10, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP195878.1,NZ_CP195878.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage present in UniProt but no tail/RBP protein annotated,,Staphylococcus aureus,"Staphylococcus aureus strain A_1d chromosome, complete genome",,resolved,Wall Teichoic Acid-Dependent Adsorption of Staphylococcal Siphovirus and Myovirus,corroborated,1245 independent record(s) link W to teichoic acid,high,medium,none
F356,yes,contractile,Myoviridae,Campylobacter jejuni,197,Campylobacter jejuni,Gram negative,cell wall,capsular polysaccharides,Capsular Polysaccharide,Glycan,Narrow,predicted-from-receptor,medium,capsule/K-antigen is strain/serotype specific -> narrow predicted,Sørensen et al. 2015,10.1371/journal.pone.0116287, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP172364.1,NZ_CP172364.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage not found in UniProt,,Campylobacter jejuni,"Campylobacter jejuni strain YH021 chromosome, complete genome",,,,,,high,medium,none
DT571/2,yes,long non-contractile,Siphoviridae,Escherichia coli,562,Escherichia coli,Gram negative,cell wall,protein BtuB and O-polysaccharide (OPS),Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Golomidova et al. 2015,10.3390/v8010026, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/M57568.1,M57568.1,specific gene,BtuB,yes,https://www.uniprot.org/uniprotkb/A0A0A7RT04,A0A0A7RT04,specific RBP,Receptor binding protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,yes,low-confidence domain assignment,"multi-domain unresolved, took first-mentioned; all: LPS, Membrane Proteins",specific receptor gene BtuB,,,Escherichia coli,"Escherichia coli vitamin B-12 binding protein (btuB) gene, partial cds; and m-5-U54 transfer RNA methyltransferase (trmA) gene, complete cds",Escherichia phage DT571/2,resolved,Branched Lateral Tail Fiber Organization in T5-Like Bacteriophages DT57C and DT571/2 is Revealed by Genetic and Functional Analysis,corroborated,7 independent record(s) link DT571/2 to BtuB,low,high,high
mEp266,yes,long non-contractile,Siphoviridae,Escherichia coli,562,Escherichia coli,Gram negative,cell wall,FhuA,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Hernandez-Sanchez et al. 2008,10.1007/s00705-008-0111-0, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/M12486.1,M12486.1,specific gene,FhuA,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,specific receptor gene FhuA,phage not found in UniProt,,Escherichia coli,"E.coli fhuA, fhuC and fhuD genes encoding the ferrichrome-iron receptor and two ferric aerobactin and ferric coprogen transport proteins, complete cds",,,,,,high,high,none
D3112,yes,long non-contractile,Siphoviridae,Pseudomonas aeruginosa,287,Pseudomonas aeruginosa,Gram negative,pili,pilus,Pili,Protein,Undetermined,insufficient-data,none,Pili host range is context-dependent; no empirical data in source,Roncero et al. 1990,10.1128/jb.172.4.1899-1904.1990, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_OZ484744.1,NZ_OZ484744.1,host genome (fallback),,yes,https://www.uniprot.org/uniprotkb/Q6TM49,Q6TM49,specific RBP,Tip attachment protein J domain-containing protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,,,Pseudomonas aeruginosa,"Pseudomonas aeruginosa strain PA3 isolate PA3 chromosome 1, complete sequence",Pseudomonas phage D3112,,,,,high,medium,high
SFP10,yes,contractile,Myoviridae,Salmonella enterica serovar Typhimurium,90371,Salmonella enterica subsp. enterica serovar Typhimurium,Gram negative,cell wall,O-antigen of LPS,LPS,Glycan,Narrow,predicted-from-receptor,medium,specific O-antigen/serotype -> narrow predicted,Park et al. 2011,10.1128/AEM.06231-11, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP104816.1,NZ_CP104816.1,host genome (fallback),,yes,https://www.uniprot.org/uniprotkb/G4WAS9,G4WAS9,specific RBP,Phage tailspike protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,,,Salmonella enterica subsp. enterica serovar Typhimurium,"Salmonella enterica subsp. enterica serovar Typhimurium strain STMC125 chromosome, complete genome",Salmonella phage SFP10,,,,,high,medium,high
ϕA1122,yes,short,Podoviridae,Yersinia pestis,632,Yersinia pestis,Gram negative,cell wall,Kdo/Ko residues of LPS and HepI/Glc residues,LPS,Glycan,Narrow,predicted-from-receptor,low,O-antigen LPS generally serotype-specific -> narrow predicted (weak),Filippov et al. 2011,10.1371/journal.pone.0025486, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP033699.1,NZ_CP033699.1,host genome (fallback),,yes,https://www.uniprot.org/uniprotkb/Q858J8,Q858J8,specific RBP,Tail fiber protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,yes,UniProt organism 'Yersinia phage phiA1122' does not name phage 'ϕA1122',,host genome fallback: gene(s) HepI not found,,,Yersinia pestis,"Yersinia pestis strain FDAARGOS_601 chromosome, complete genome",Yersinia phage phiA1122,resolved,Bacteriophage-Resistant Mutants in Yersinia pestis: Identification of Phage Receptors and Attenuation for Mice,corroborated,1 independent record(s) link ϕA1122 to HepI,high,medium,high
PST (alternate host),yes,contractile,Myoviridae,Yersinia pseudotuberculosis,633,Yersinia pseudotuberculosis,Gram negative,cell wall,HepII/HepIII pairs of inner core residues,LPS,Glycan,Broad,predicted-from-receptor,low,conserved LPS core -> broad predicted,Filippov et al. 2011,10.1371/journal.pone.0025486, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_AP031363.1,NZ_AP031363.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,yes,receptor text does not support domain 'LPS' | no independent literature found for this phage,,host genome fallback: no gene symbol in receptor,phage not found in UniProt,,Yersinia pseudotuberculosis,"Yersinia pseudotuberculosis strain KD3 chromosome, complete genome",,resolved,Bacteriophage-Resistant Mutants in Yersinia pestis: Identification of Phage Receptors and Attenuation for Mice,no literature,no independent literature found for PST (alternate host),high,medium,none
mEp468,yes,long non-contractile,Siphoviridae,Escherichia coli,562,Escherichia coli,Gram negative,cell wall,FhuA,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Hernandez-Sanchez et al. 2008,10.1007/s00705-008-0111-0, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/M12486.1,M12486.1,specific gene,FhuA,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,specific receptor gene FhuA,phage not found in UniProt,,Escherichia coli,"E.coli fhuA, fhuC and fhuD genes encoding the ferrichrome-iron receptor and two ferric aerobactin and ferric coprogen transport proteins, complete cds",,,,,,high,high,none
T5,yes,long non-contractile,Siphoviridae,Escherichia coli,562,Escherichia coli,Gram negative,cell wall,Polymannose sequence in the O-antigen and protein FhuA,LPS,Glycan,Narrow,predicted-from-receptor,medium,specific O-antigen/serotype -> narrow predicted,Braun et al. 1973; Braun and Wolff 1973; Heller and Braun 1982,"10.1016/0005-2736(73)90433-1 (Braun et al), 10.1016/0014-5793(73)80707-0 (Braun and Wolff), 10.1128/jvi.41.1.222-227.1982 (Heller and Braun)", ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/M12486.1,M12486.1,specific gene,FhuA,yes,https://www.uniprot.org/uniprotkb/P23207,P23207,specific RBP,Receptor-binding protein pb5,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,yes,low-confidence domain assignment,"multi-domain unresolved, took first-mentioned; all: LPS, Membrane Proteins",specific receptor gene FhuA,,,Escherichia coli,"E.coli fhuA, fhuC and fhuD genes encoding the ferrichrome-iron receptor and two ferric aerobactin and ferric coprogen transport proteins, complete cds",Escherichia phage T5,resolved,A common receptor protein for phage T5 and colicin M in the outer membrane of Escherichia coli B,corroborated,376 independent record(s) link T5 to FhuA,low,high,high
Phage 117,yes,short,Podoviridae,Klebsiella pneumoniae,573,Klebsiella pneumoniae,Gram negative,cell wall,colanic acid in capsular extracellular polysaccharide,Capsular Polysaccharide,Glycan,Narrow,predicted-from-receptor,medium,capsule/K-antigen is strain/serotype specific -> narrow predicted,Tan et al. 2020,10.3390/microorganisms8030378, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_OZ477362.1,NZ_OZ477362.1,host genome (fallback),,yes,https://www.uniprot.org/uniprotkb/A0A5Q2W660,A0A5Q2W660,specific RBP,Probable tail spike protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,,,Klebsiella pneumoniae,Klebsiella pneumoniae strain 49856 isolate 49856 chromosome 1,Klebsiella phage 117,,,,,high,medium,high
ϕVFW,yes,long non-contractile,Siphoviridae,Enterococcus faecalis,1351,Enterococcus faecalis,Gram positive,cell wall,"EF0858, integral membrane protein",Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Duerkop et al. 2016,10.1128/mBio.01304-16, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP191290.1,NZ_CP191290.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage not found in UniProt,,Enterococcus faecalis,"Enterococcus faecalis strain Efa-W4 chromosome, complete genome",,,,,,high,medium,none
PBS1,yes,contractile,Myoviridae,Bacillus subtilis,1423,Bacillus subtilis,Gram positive,flagella,flagellum,Flagella,Protein,Undetermined,insufficient-data,none,Flagella host range is context-dependent; no empirical data in source,Raimondo et al. 1968,10.1128/jvi.2.3.256-264.1968, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP160208.1,NZ_CP160208.1,host genome (fallback),,yes,https://www.uniprot.org/uniprotkb/A0A223LC33,A0A223LC33,specific RBP,Tail fiber protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,,,Bacillus subtilis,"Bacillus subtilis strain LTH 7164 chromosome, complete genome",Bacillus phage PBS1,,,,,high,medium,high
PP35,yes,contractile,Ackermannviridae,Dickeya solani,1089444,Dickeya solani,Gram negative,cell wall,oligo polysaccharide,LPS,Glycan,Narrow,predicted-from-receptor,low,O-antigen LPS generally serotype-specific -> narrow predicted (weak),Kabanova et al. 2019,10.3389/fmicb.2018.03288, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP136339.1,NZ_CP136339.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage not found in UniProt,,Dickeya solani,"Dickeya solani strain CFBP5647 chromosome, complete genome",,,,,,high,medium,none
